N2|synonym|集める|あつめる|to gather|v|募集する|ぼしゅうする|to recruit; to invite applications|v|募集する is publicly inviting people to apply.
N2|synonym|謝る|あやまる|to apologise|v|詫びる|わびる|to apologise; to make amends|v|詫びる is formal and written: お詫び申し上げます.
N2|synonym|表す|あらわす|to express; to indicate|v|示す|しめす|to show; to demonstrate|v|示す points to evidence or data; 表す expresses meaning or feeling.
N2|synonym|言う|いう|to say|v|述べる|のべる|to state; to express|v|述べる is formal and used for stating opinions in writing or speeches.
N2|synonym|意見|いけん|opinion|n|主張|しゅちょう|assertion; claim|n|主張 is an opinion pushed insistently and defended.
N2|synonym|以降|いこう|from then on; after|n|以後|いご|after; from now on|n|以後 often warns about future behaviour: 以後気をつけます.
N2|synonym|医者|いしゃ|doctor|n|医師|いし|physician|n|医師 is the professional and legal term; 医者 is what you say in conversation.
N2|synonym|一応|いちおう|for now; just in case|adv|とりあえず|とりあえず|for the time being|adv|とりあえず is doing something first before the rest; 一応 hedges that it is only provisional.
N2|synonym|一斉に|いっせいに|all at once; in unison|adv|同時に|どうじに|at the same time|adv|一斉に stresses many acting together; 同時に is simple simultaneity.
N2|synonym|移動する|いどうする|to move; to travel|v|移る|うつる|to shift; to relocate|v|移る is changing to a new place or state; 移動する is the act of moving.
N2|synonym|意味|いみ|meaning|n|意義|いぎ|significance; value|n|意義 is the worth or point of doing something, not a dictionary definition.
N2|synonym|影響|えいきょう|influence; effect|n|効果|こうか|effect; efficacy|n|効果 is the intended beneficial effect; 影響 is any knock-on effect.
N2|synonym|延期する|えんきする|to postpone|v|先に延ばす|さきにのばす|to put off|v|延期する sets a new date; 先に延ばす just pushes it back.
N2|synonym|援助する|えんじょする|to aid; to support|v|助ける|たすける|to help; to save|v|援助する is organised assistance, usually financial or material.
N2|synonym|大幅に|おおはばに|significantly; sharply|adv|大きく|おおきく|greatly; largely|adv|大幅に is used for numbers and prices moving a lot.
N2|synonym|起こす|おこす|to cause; to give rise to|v|引き起こす|ひきおこす|to bring about; to trigger|v|引き起こす is almost always used for negative consequences.
N2|synonym|驚く|おどろく|to be surprised|v|びっくりする|びっくりする|to be startled|v|びっくりする is casual and spoken; 驚く suits writing.
N2|synonym|各々|おのおの|each; respectively|n|それぞれ|それぞれ|each; individually|n|各々 is formal and written; それぞれ is the spoken word.
N2|synonym|主に|おもに|mainly; chiefly|adv|主として|しゅとして|primarily; principally|adv|主として is stiffer and appears in written analysis and official documents.
N2|synonym|およそ|およそ|approximately; roughly|adv|約|やく|about; approximately|adv|約 attaches directly to a number; およそ can also mean generally speaking.
N2|synonym|開始する|かいしする|to start; to commence|v|始める|はじめる|to begin|v|開始する suits systems, events and announcements.
N2|synonym|会社|かいしゃ|company|n|企業|きぎょう|enterprise; corporation|n|企業 is the word in economic writing; 会社 is where you actually work.
N2|synonym|改善する|かいぜんする|to improve; to make better|v|良くする|よくする|to make better|v|改善する is a business word for fixing a known problem step by step.
N2|synonym|かえって|かえって|contrary to expectation|adv|逆に|ぎゃくに|conversely; the other way round|adv|逆に is spoken and increasingly used as a filler; かえって keeps its full meaning.
N2|synonym|確実|かくじつ|certain; reliable|na|間違いない|まちがいない|there is no mistake|exp|確実 describes a method or outcome; 間違いない is the speaker's own certainty.
N2|synonym|拡大する|かくだいする|to expand; to magnify|v|増大する|ぞうだいする|to grow; to swell|v|拡大する works for images and scope; 増大する is about quantity growing.
N2|synonym|我慢する|がまんする|to put up with; to endure|v|耐える|たえる|to bear; to withstand|v|耐える also describes materials withstanding stress; 我慢する is personal restraint.
N2|synonym|考える|かんがえる|to think; to consider|v|検討する|けんとうする|to examine; to consider|v|検討する is formal consideration before a decision, and often politely defers one.
N2|synonym|完成する|かんせいする|to be completed|v|出来上がる|できあがる|to be finished; to be ready|v|出来上がる is spoken and often used for food and small tasks.
N2|synonym|感想|かんそう|impressions; thoughts|n|印象|いんしょう|impression|n|印象 is how something struck you; 感想 is your considered response afterwards.
N2|synonym|記憶する|きおくする|to memorise; to retain|v|覚える|おぼえる|to learn; to remember|v|記憶する is technical or literary; 覚える is the everyday verb.
N2|synonym|危険|きけん|danger; risk|n|恐れ|おそれ|fear; risk of|n|恐れ appears in warnings: 事故の恐れがあります.
N2|synonym|規則|きそく|rules; regulations|n|規定|きてい|provision; stipulation|n|規定 refers to a specific written clause; 規則 is the body of rules.
N2|synonym|期待する|きたいする|to expect; to look forward to|v|望む|のぞむ|to hope for; to desire|v|期待する assumes it is likely; 望む is simply wanting it.
N2|synonym|希望する|きぼうする|to wish for; to request|v|願う|ねがう|to wish; to pray for|v|希望する appears on forms; 願う is more emotional and often addressed to others.
N2|synonym|決める|きめる|to decide|v|決定する|けっていする|to determine; to resolve|v|決定する is a formal decision by an organisation.
N2|synonym|給料|きゅうりょう|salary; pay|n|賃金|ちんぎん|wages|n|賃金 is the term used in labour law and economics.
N2|synonym|許可する|きょかする|to permit; to authorise|v|許す|ゆるす|to allow; to forgive|v|許す also means to forgive, which 許可する never does.
N2|synonym|区別する|くべつする|to distinguish; to tell apart|v|分ける|わける|to separate; to divide|v|区別する is recognising a difference; 分ける is physically dividing.
N2|synonym|訓練する|くんれんする|to train; to drill|v|練習する|れんしゅうする|to practise|v|訓練する is disciplined training toward competence, often professional.
N2|synonym|経験する|けいけんする|to experience|v|体験する|たいけんする|to experience firsthand|v|体験する is a single vivid experience; 経験 accumulates over time.
N2|synonym|継続する|けいぞくする|to continue; to sustain|v|続ける|つづける|to keep doing|v|継続する suits policies, treatment and memberships.
N2|synonym|結果|けっか|result; outcome|n|成果|せいか|achievement; fruits|n|成果 is a positive result earned by effort; 結果 can be good or bad.
N2|synonym|結局|けっきょく|in the end; after all|adv|最終的に|さいしゅうてきに|ultimately; finally|adv|結局 often carries a hint of resignation; 最終的に is neutral and formal.
N2|synonym|減少する|げんしょうする|to decrease|v|減る|へる|to decrease|v|減少する is written and analytical; 減る is spoken.
N2|synonym|建設する|けんせつする|to construct|v|建てる|たてる|to build|v|建設する suits large infrastructure; 建てる suits a house.
N2|synonym|購入する|こうにゅうする|to purchase|v|買う|かう|to buy|v|購入する is the word on receipts, contracts and business documents.
N2|synonym|断る|ことわる|to refuse; to decline|v|拒否する|きょひする|to reject; to refuse|v|拒否する is flat rejection; 断る allows for a polite decline.
N2|synonym|避ける|さける|to avoid; to steer clear of|v|よける|よける|to dodge; to get out of the way|v|Same kanji, different verbs: よける is a physical dodge, 避ける is often abstract.
N2|synonym|早速|さっそく|at once; right away|adv|すぐに|すぐに|immediately|adv|早速 implies acting promptly on something that just came up, often politely.
N2|synonym|参加する|さんかする|to participate; to take part|v|加わる|くわわる|to join; to be added|v|加わる can mean simply being added to a group or list.
N2|synonym|賛成する|さんせいする|to agree; to approve|v|同意する|どういする|to consent; to concur|v|同意する is formal agreement, including legal consent.
N2|synonym|仕事|しごと|work; job|n|業務|ぎょうむ|duties; operations|n|業務 is the formal word for work tasks inside an organisation.
N2|synonym|次第に|しだいに|gradually; by degrees|adv|徐々に|じょじょに|gradually; little by little|adv|Both are written; 徐々に stresses slow steady steps, 次第に a natural drift.
N2|synonym|実施する|じっしする|to implement; to conduct|v|行う|おこなう|to carry out; to perform|v|実施する is formally putting a plan, survey or policy into effect; 行う is any conducted action.
N2|synonym|しばしば|しばしば|frequently; often|adv|よく|よく|often; well|adv|しばしば is written; よく is the spoken word and also means well.
