0001	私
0002	あなた
0003	人
0004	男
0005	女
0006	子ども
0007	大人
0008	友達
0009	友人
0010	家族
0011	父
0012	母
0013	両親
0014	兄
0015	姉
0016	弟
0017	妹
0018	夫
0019	妻
0020	息子
0021	娘
0022	先生
0023	学生
0024	生徒
0025	日本
0026	日本人
0027	日本語
0028	英語
0029	外国
0030	外国人
0031	国
0032	世界
0033	社会
0034	会社
0035	仕事
0036	学校
0037	大学
0038	教室
0039	病院
0040	銀行
0041	駅
0042	店
0043	スーパー
0044	コンビニ
0045	家
0046	部屋
0047	台所
0048	玄関
0049	風呂
0050	トイレ
0051	窓
0052	ドア
0053	階段
0054	庭
0057	テーブル
0058	椅子
0059	ベッド
0060	今日
0061	明日
0062	昨日
0063	今
0064	朝
0065	昼
0066	夜
0067	夕方
0068	午前
0069	午後
0070	今週
0071	先週
0072	来週
0073	今月
0074	先月
0075	来月
0076	今年
0077	去年
0078	来年
0079	時間
0080	時
0081	分
0082	日
0083	週
0084	月
0085	年
0086	春
0087	夏
0088	秋
0089	冬
0090	毎日
0091	毎週
0092	毎月
0093	毎年
0094	一
0095	二
0096	三
0097	四
0098	五
0099	六
0100	七
0101	八
0102	九
0103	十
0104	百
0105	千
0106	万
0107	半
0108	一番
0109	最初
0110	最後
0111	次
0112	前
0113	後
0114	上
0115	下
0116	中
0117	外
0118	内
0119	左
0120	右
0121	東
0122	西
0123	南
0124	北
0125	ここ
0126	そこ
0127	あそこ
0128	こちら
0129	そちら
0130	どこ
0131	これ
0132	それ
0133	あれ
0134	この
0135	その
0136	あの
0137	どれ
0138	どの
0139	何
0140	誰
0141	いつ
0142	どう
0143	どうして
0144	なぜ
0145	する
0146	ある
0147	いる
0148	なる
0149	できる
0150	行く
0151	来る
0152	帰る
0153	出る
0154	入る
0155	上がる
0156	下がる
0157	乗る
0158	降りる
0159	歩く
0160	走る
0161	飛ぶ
0162	止まる
0163	見る
0164	見せる
0165	見える
0166	聞く
0167	聞こえる
0168	話す
0169	言う
0170	読む
0171	書く
0172	思う
0173	考える
0174	知る
0175	分かる
0176	覚える
0177	忘れる
0178	学ぶ
0179	教える
0180	食べる
0181	飲む
0182	作る
0183	使う
0184	買う
0185	売る
0186	払う
0187	取る
0188	持つ
0189	置く
0190	入れる
0191	出す
0192	開ける
0193	開く
0194	閉める
0195	閉まる
0196	つける
0197	消す
0198	起きる
0199	寝る
0200	休む
0201	働く
0202	勉強
0203	練習
0204	会う
0205	待つ
0206	呼ぶ
0207	送る
0208	返す
0209	借りる
0210	貸す
0211	頼む
0212	手伝う
0213	始める
0214	始まる
0215	終わる
0216	続ける
0217	続く
0218	決める
0219	決まる
0220	変える
0221	変わる
0222	増える
0223	減る
0224	選ぶ
0225	比べる
0226	探す
0227	見つける
0228	立つ
0229	座る
0230	着く
0231	住む
0232	生まれる
0233	死ぬ
0234	洗う
0236	料理
0237	運転
0238	旅行
0239	結婚
0240	大きい
0241	小さい
0242	高い
0243	低い
0244	長い
0245	短い
0246	広い
0247	狭い
0248	多い
0249	少ない
0250	新しい
0251	古い
0252	いい
0253	悪い
0254	早い
0255	遅い
0256	速い
0257	暑い
0258	寒い
0259	暖かい
0260	涼しい
0261	熱い
0262	冷たい
0263	重い
0264	軽い
0265	強い
0266	弱い
0267	難しい
0268	易しい
0269	忙しい
0270	楽しい
0271	面白い
0272	おいしい
0273	甘い
0274	辛い
0275	苦い
0276	痛い
0277	怖い
0278	うれしい
0279	悲しい
0280	かわいい
0281	美しい
0282	汚い
0283	明るい
0284	暗い
0285	近い
0286	遠い
0287	好き
0288	嫌い
0289	上手
0290	下手
0291	元気
0292	静か
0293	にぎやか
0294	便利
0295	大丈夫
0296	大切
0297	大事
0298	必要
